sysname	name	chr	posup	posdown	strand	control	type	alias	numPro	numTer	numSyn	numMiS	numNoS	Varelse	LocQTLLOD	info
YBR180W	DTR1	2	589741	591459	W	Verified	ORF		1	0	9	7	0	0	0	Putative dityrosine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; required for spore wall synthesis; sequence similarity to QDR1 and QDR3, and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expressed during sporulation
YBR181C	RPS6B	2	591712	592774	C	Verified	ORF	eS6|ribosomal 40S subunit protein S6B|S6e|RPS102|RPS101|LPG18	0	7	8	7	7	7	0	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; phosphorylated on S233 by Ypk3p in a TORC1-dependent manner, and on S232 in a TORC1/2-dependent manner by Ypk1/2/3p; RPS6B has a paralog, RPS6A, that arose from the whole genome duplication
YBR182C	SMP1	2	593506	594864	C	Verified	ORF		0	5	8	3	0	0	0	MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication
YBR182C-A		2	595361	595555	C	Uncharacterized	ORF		0	2	1	2	0	1	0	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YBR183W	YPC1	2	596115	597065	W	Verified	ORF	phytoceramidase	4	0	4	0	0	0	67.1080749812825	Alkaline ceramidase; also has reverse (CoA-independent) ceramide synthase activity; catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance; YPC1 has a paralog, YDC1, that arose from the whole genome duplication
YBR184W		2	597363	598934	W	Uncharacterized	ORF		4	0	4	4	0	0	3.48262795097935	Putative protein of unknown function; YBR184W is not an essential gene
YBR185C	MBA1	2	599123	599959	C	Verified	ORF		0	4	6	0	0	0	9.8287572555897	Membrane-associated mitochondrial ribosome receptor; forms a complex with Mdm38p that may facilitate recruitment of mRNA-specific translational activators to ribosomes; possible role in protein export from the matrix to inner membrane
YBR186W	PCH2	2	600553	602360	W	Verified	ORF		1	0	6	8	2	2	0	Hexameric ring ATPase that remodels chromosome axis protein Hop1p; nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in rDNA; required for meiotic double-stranded break formation
YBR187W	GDT1	2	602634	603476	W	Verified	ORF	putative ribosome biosynthesis protein GDT1	5	0	2	4	0	0	6.9039318419234	Calcium transporter localized to the cis- and medial-Golgi apparatus; required for protein glycosylation; GFP-fusion protein localizes to the vacuole; TMEM165, a human gene which causes Congenital Disorders of Glycosylation is orthologous and functionally complements the null allele; expression pattern and physical interactions suggest a possible role in ribosome biogenesis; expression reduced in a gcr1 null mutant
YBR188C	NTC20	2	603685	604107	C	Verified	ORF		0	2	3	5	0	0	18.8045116182845	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs
YBR189W	RPS9B	2	604508	605508	W	Verified	ORF	ribosomal 40S subunit protein S9B|rp21|YS11|S9B|S4|S13|SUP46|RPS13A	4	0	1	1	0	0	31.083663932678	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9B has a paralog, RPS9A, that arose from the whole genome duplication
YBR190W		2	605966	606277	W	Dubious	ORF		5	0	0	3	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ribosomal protein gene RPL21A/YBR191W
YBR191W	RPL21A	2	606270	607140	W	Verified	ORF	eL21|ribosomal 60S subunit protein L21A|L21e|L21A|URP1	7	0	5	4	4	4	220.541591319957	Ribosomal 60S subunit protein L21A; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21A has a paralog, RPL21B, that arose from the whole genome duplication
YBR191W-A		2	607149	607223	W	Dubious	ORF		2	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR192W	RIM2	2	607652	608785	W	Verified	ORF	PYT1	7	0	6	0	0	0	0	Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family
YBR193C	MED8	2	609082	609753	C	Verified	ORF		0	1	2	2	0	0	86.7359344291602	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YBR194W	AIM4	2	610038	610409	W	Verified	ORF	SOY1	2	0	3	1	0	0	0	Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress
YBR195C	MSI1	2	610614	611882	C	Verified	ORF	CAC3	0	6	3	2	0	0	8.58517281809025	Subunit of chromatin assembly factor I (CAF-1); chromatin assembly by CAF-1 affects multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of DNA damage checkpoint after DNA repair; chromatin dynamics during transcription; and repression of divergent noncoding transcription; Msi1p localizes to nucleus and cytoplasm and independently regulates the RAS/cAMP pathway via sequestration of Npr1p kinase
YBR196C	PGI1	2	612236	613900	C	Verified	ORF	glucose-6-phosphate isomerase|CDC30	0	2	10	0	0	0	0	Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation
YBR196C-A		2	614024	614173	C	Uncharacterized	ORF		0	0	0	1	0	0	44.1766826985207	Putative protein of unknown function; identified by fungal homology and RT-PCR
YBR196C-B		2	614526	614630	C	Uncharacterized	ORF		0	8	1	0	0	0	0	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YBR197C		2	615203	615856	C	Verified	ORF		0	4	3	3	0	1	411.150020767206	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR197C is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress; YBR197C has a paralog, YPL077C, that arose from the whole genome duplication
YBR198C	TAF5	2	616127	618523	C	Verified	ORF	chromatin modification protein|TafII90|TAF90	0	7	13	0	0	0	14.6992233514219	Subunit (90 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification
YBR199W	KTR4	2	618909	620303	W	Verified	ORF	putative mannosyltransferase	10	0	5	4	0	1	41.5505019402637	Glycosyltransferase involved in protein glycosylation; transfers GDP-mannose to methyl-alpha-mannoside in vitro; member of the KRE2/MNT1 mannosyltransferase family of type II membrane proteins with a short cytoplasmic N-terminus, a membrane-spanning region and a highly conserved catalytic lumenal domain
YBR200W	BEM1	2	620872	622527	W	Verified	ORF	phosphatidylinositol-3-phosphate-binding protein BEM1|SRO1	4	0	5	0	0	0	4.6161481924551	Protein containing SH3-domains; involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p
ARS220		2	622671	622939			ARS	ARSII-623								Autonomously Replicating Sequence
YBR200W-A		2	622983	623147	W	Uncharacterized	ORF		6	0	1	0	0	0	0	Putative protein of unknown function; identified by fungal homology and RT-PCR
YBR201W	DER1	2	623576	624211	W	Verified	ORF	derlin	4	0	5	1	0	0	0	ER membrane protein that promotes export of misfolded polypeptides; required for ER-associated protein degradation of misfolded or unassembled proteins; initiates export of aberrant polypeptides from ER lumen by threading them into ER membrane and routing them to Hrd1p for ubiquitination; function normally requires N-terminal acetylation by NatB; N- and C- termini protrude into cytoplasm; similar to Dfm1p; homolog of mammalian derlin-1
YBR201C-A		2	624493	624696	C	Uncharacterized	ORF		0	4	0	1	0	0	5.68158080523697	Putative protein of unknown function
YBR202W	MCM7	2	625772	628309	W	Verified	ORF	mini-chromosome maintenance complex protein 7|CDC47	6	0	11	1	0	0	21.6493693229864	Component of the Mcm2-7 hexameric helicase complex; MCM2-7 primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex
YBR203W	COS111	2	629168	631942	W	Verified	ORF		8	0	13	5	0	0	14.4315695242703	Protein required for antifungal drug ciclopirox olamine resistance; not related to the subtelomerically-encoded COS family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
ARS221		2	631939	632251			ARS	ARSII-632								Autonomously Replicating Sequence
YBR204C	LDH1	2	632254	633381	C	Verified	ORF	triacylglycerol lipase	0	3	7	6	0	0	66.3228262910774	Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis, regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)
YBR205W	KTR3	2	633622	634836	W	Verified	ORF	mannosyltransferase KTR3	9	0	6	1	0	0	26.4435799843558	Putative alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles; relocalizes from nucleus to vacuole upon DNA replication stress
YBR206W		2	634601	634924	W	Dubious	ORF		2	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KTR3
YBR207W	FTH1	2	635146	636543	W	Verified	ORF		1	0	8	1	0	0	15.4128399826743	Putative high affinity iron transporter; involved in transport of intravacuolar stores of iron; forms complex with Fet5p; expression is regulated by iron; proposed to play indirect role in endocytosis; protein abundance increases in response to DNA replication stress
YBR208C	DUR1,2	2	636703	642210	C	Verified	ORF	bifunctional urea carboxylase/allophanate hydrolase|DUR80	0	3	19	8	0	0	0	Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress
YBR209W		2	642583	642900	W	Dubious	ORF		2	0	0	2	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YBR209W is not an essential gene
tC(GCA)B		2	643007	643078	C		tRNA_gene									Cysteine tRNA (tRNA-Cys), predicted by tRNAscan-SE analysis
YBRCtau2		2	643488	643858	C		long_terminal_repeat	YBRWtau2								Ty4 LTR
YBRWdelta18		2	643859	644002	W		long_terminal_repeat	YBRCdelta18								Ty1 LTR
YBRCdelta19		2	644362	644603	C		long_terminal_repeat									Ty1 LTR
tE(UUC)B		2	645167	645238	W		tRNA_gene									Glutamate tRNA (tRNA-Glu), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p
YBR210W	ERV15	2	645550	645978	W	Verified	ORF		9	0	3	0	0	0	20.8099505750845	Protein involved in export of proteins from the endoplasmic reticulum; ERV15 has a paralog, ERV14, that arose from the whole genome duplication
YBR211C	AME1	2	646158	647132	C	Verified	ORF	ARP100	0	4	4	2	0	0	4.51664297981392	Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress
YBR212W	NGR1	2	647886	649904	W	Verified	ORF	RBP1	5	0	5	1	0	1	4.28856074699821	RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase
YBR213W	MET8	2	650368	651192	W	Verified	ORF	bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8	2	0	4	4	0	0	8.93336748976118	Bifunctional dehydrogenase and ferrochelatase; involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis
YBR214W	SDS24	2	651415	652998	W	Verified	ORF		3	0	6	2	0	0	4.8597098741814	Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication
YBR215W	HPC2	2	653356	655317	W	Verified	ORF		6	0	11	7	3	3	0	Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT, a complex that allows passage of RNA Pol II through nucleosomes
YBR216C	YBP1	2	655576	657600	C	Verified	ORF		0	3	6	2	0	0	0	Protein involved in cellular response to oxidative stress; required for oxidation of specific cysteine residues of transcription factor Yap1p, resulting in nuclear localization of Yap1p in response to stress; YBP1 has a paralog, YBP2, that arose from the whole genome duplication
YBR217W	ATG12	2	657832	658392	W	Verified	ORF	APG12	3	0	0	0	0	0	0	Ubiquitin-like modifier involved in autophagy and the Cvt pathway; conserved; conjugated to Atg5p to form a complex involved in Atg8p lipidation; Atg5p-Atg12p conjugate enhances E2 activity of Atg3p by rearranging its catalytic site, also forms a complex with Atg16p; the Atg5-Atg12/Atg16 complex binds to membranes and is essential for autophagosome formation
YBR218C	PYC2	2	658707	662249	C	Verified	ORF	pyruvate carboxylase 2	0	0	13	1	0	0	0	Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc1p; mutations in the human homolog are associated with lactic acidosis; PYC2 has a paralog, PYC1, that arose from the whole genome duplication
YBR219C		2	662499	663303	C	Uncharacterized	ORF		0	7	4	2	2	3	0	Putative protein of unknown function; YBR219C is not an essential gene
YBR220C		2	662995	664677	C	Uncharacterized	ORF		0	3	7	0	0	0	5.43329345358478	Putative protein of unknown function; YBR220C is not an essential gene
YBR221C	PDB1	2	665153	666253	C	Verified	ORF	pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta	0	2	1	1	0	0	0	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria
YBR221W-A		2	666538	666642	W	Uncharacterized	ORF		1	0	0	0	0	0	0	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YBR222C	PCS60	2	666720	668351	C	Verified	ORF	FAT2	0	2	6	1	0	0	0	Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation that functions to protect yeast from inhibitory effects of oxalate; peroxisomal protein that binds mRNA; localizes to both peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid; similar to E. coli long chain acyl-CoA synthetase
YBR223C	TDP1	2	668663	670297	C	Verified	ORF	tyrosyl-DNA phosphodiesterase 1	0	3	3	7	0	0	0	Tyrosyl-DNA phosphodiesterase I; hydrolyzes 3' and 5'-phosphotyrosyl bonds; involved in the repair of DNA lesions created by topo I and topo II; mutations in the human homolog, TDP1, result in the a neurodegenerative disease, spinocerebellar ataxia with axonal neuropathy (SCAN1); yeast cells and human rhabdomyosarcoma lines that overexpress TDP1 both exhibit elevated dosage chromosomal instability (dCIN)
YBR223W-A		2	668721	668840	W	Dubious	ORF		3	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps YBR223C; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YBR224W		2	670125	670640	W	Dubious	ORF		2	0	0	6	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TDP1
YBR225W		2	670627	673329	W	Uncharacterized	ORF		6	0	11	5	0	0	0	Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components
YBR226C		2	673155	673565	C	Dubious	ORF		0	0	4	2	0	1	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR225W
YBR227C	MCX1	2	673572	675134	C	Verified	ORF		0	7	1	2	0	0	0	Non-proteolytic ATPase of the AAA family; stimulates incorporation of the pyridoxal phosphate cofactor into Hem1p (5-aminolevulinic acid synthase); localized to the mitochondrial matrix; ortholog of vertebrate CLPX, which promotes erythropoiesis
YBR228W	SLX1	2	675313	676227	W	Verified	ORF	endonuclease	6	0	5	4	0	0	8.04850052872392	Endonuclease involved in DNA recombination and repair; subunit of a complex, with Slx4p, that hydrolyzes 5' branches from duplex DNA in response to stalled or converging replication forks; function overlaps with that of Sgs1p-Top3p
YBR229C	ROT2	2	676357	679221	C	Verified	ORF	glucan 1,3-alpha-glucosidase ROT2|GLS2	0	8	11	10	0	0	133.200749264275	Glucosidase II catalytic subunit; required to trim the final glucose in N-linked glycans; required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations
YBR230C	OM14	2	679549	680050	C	Verified	ORF		0	6	1	1	0	0	5.40330773653163	Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources
YBR230W-A		2	680362	680562	W	Uncharacterized	ORF		1	0	1	2	0	0	23.3888708460402	Putative protein of unknown function; YBR230W-A has a paralog, COQ8, that arose from the whole genome duplication
LSR1	LSR1	2	680688	681862	C		snRNA_gene	U2|snR20								U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing
YBR231C	SWC5	2	682179	683090	C	Verified	ORF	AOR1	0	5	3	3	0	0	0	Component of the SWR1 complex; complex exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia
YBR232C		2	683373	683732	C	Dubious	ORF		0	2	3	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR233W	PBP2	2	683428	684669	W	Verified	ORF	HEK1	3	0	3	0	0	0	36.5052585242438	RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length; relative distribution to the nucleus increases upon DNA replication stress
YBR233W-A	DAD3	2	684977	685261	W	Verified	ORF		4	0	1	0	0	0	0	Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis
YBR234C	ARC40	2	685438	686592	C	Verified	ORF		0	3	2	1	0	0	50.0192669864296	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches
YBR235W	VHC1	2	686901	690263	W	Verified	ORF		4	0	18	1	0	0	119.258022344302	Vacuolar membrane cation-chloride cotransporter (CCC); likely mediates K+ and Cl- cotransport into the vacuole; has a role in potassium homeostasis and salt tolerance; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family
YBR236C	ABD1	2	690383	691693	C	Verified	ORF	mRNA (guanine-N7)-methyltransferase	0	5	3	3	0	0	6.72730099852131	Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein that relocalizes to the cytosol in response to hypoxia
YBR237W	PRP5	2	691969	694518	W	Verified	ORF	DEAD-box RNA helicase PRP5|RNA5	12	0	7	15	0	0	19.6797279119494	RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA
YBR238C		2	695107	697302	C	Verified	ORF		0	4	6	1	0	0	0	Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication
YBR239C	ERT1	2	698354	699943	C	Verified	ORF		0	6	4	5	0	0	73.2112457521074	Transcriptional regulator; involved in regulation of gluconeogenesis and fermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition; member of the zinc cluster family of proteins, similar to Rds2p
YBR240C	THI2	2	700490	701842	C	Verified	ORF	phoF|PHO6	0	9	3	0	0	0	0	Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand, possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type
YBR241C		2	702589	704055	C	Uncharacterized	ORF		0	0	0	0	0	0	0	Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene; YBR241C has a paralog, VPS73, that arose from the whole genome duplication
ARS222		2	704296	704566			ARS	ARSII-704								Autonomously Replicating Sequence
YBR242W		2	704670	705386	W	Uncharacterized	ORF		0	0	0	1	0	0	0	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene; YBR242W has a paralog, YGL101W, that arose from the whole genome duplication
YBR243C	ALG7	2	705447	706793	C	Verified	ORF	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase|TUR1	0	1	0	0	0	0	0	UDP-N-acetyl-glucosamine-1-P transferase; transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin; human homolog DPAGT1 can complement yeast ALG7 mutant
YBR244W	GPX2	2	707528	708016	W	Verified	ORF	glutathione peroxidase GPX2|AMI1	0	0	1	0	0	0	0	Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress
YBR245C	ISW1	2	708150	711539	C	Verified	ORF	chromatin-remodeling ATPase ISW1|SGN2	0	1	2	1	0	0	0	ATPase subunit of imitation-switch (ISWI) class chromatin remodelers; with Ioc3p forms Isw1a complex involved in repression of transcription initiation; with Ioc2p and Ioc4p forms Isw1b complex involved in regulation of transcription elongation; Isw1b recruited to ORFs by H3K36 methylation and acts with Chd1p to prevent trans-histone exchange over coding regions; Isw1p import into nucleus depends on C-terminal bipartite nuclear targeting signal KRIR X19 KKAK
YBR246W	RRT2	2	711591	712754	W	Verified	ORF	DPH7|diphthamide synthase|ERE1	0	0	0	1	0	0	13.4787772993519	Methylesterase performing penultimate step of diphthamide biosynthesis; hydrolyzes methylated diphthine to produce diphthine and allows Dph6-catalyzed amidation reaction to occur; deletion leads to resistance to sordarin and accumulation of methylatediphthine; WD40 domain-containing protein; involved in endosomal recycling; forms complex with Rtt10p that functions in retromer-mediated pathway for recycling internalized cell-surface proteins
YBR247C	ENP1	2	713004	714455	C	Verified	ORF	snoRNA-binding rRNA-processing protein ENP1|MEG1	0	2	0	0	0	0	0	Protein associated with U3 and U14 snoRNAs; required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus; human BYSL functionally complements the heat sensitivity of an enp1 ts mutant
YBR248C	HIS7	2	714807	716465	C	Verified	ORF	imidazoleglycerol-phosphate synthase	0	0	1	0	0	0	0	Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor
YBR249C	ARO4	2	716882	717994	C	Verified	ORF	3-deoxy-7-phosphoheptulonate synthase ARO4	0	3	2	0	0	0	86.9925889567902	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress
YBR250W	SPO23	2	719033	720604	W	Verified	ORF		0	0	0	0	0	0	0	Protein of unknown function; associates with meiosis-specific protein Spo1p
YBR251W	MRPS5	2	721390	722313	W	Verified	ORF	mitochondrial 37S ribosomal protein MRPS5	1	0	1	0	0	0	0	Mitochondrial ribosomal protein of the small subunit
YBR252W	DUT1	2	722611	723054	W	Verified	ORF	bifunctional dITP/dUTP diphosphatase	3	0	0	0	0	0	0	Deoxyuridine triphosphate diphosphatase (dUTPase); catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability; also has diphosphatase activity on deoxyinosine triphosphate; human homolog DUT allows growth of yeast haploid dut1 null mutant after sporulation of heterozygous diploid
YBR253W	SRB6	2	723270	723635	W	Verified	ORF	MED22	1	0	1	0	0	0	0	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YBR254C	TRS20	2	723736	724263	C	Verified	ORF	TRAPP subunit TRS20	0	2	0	0	0	0	0	Core component of transport protein particle (TRAPP) complexes I-III; TRAPPs are multimeric guanine nucleotide-exchange factors for GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); mutation leads to defects in endocytic recycling, block in sporulation/meiosis; mutations in human homolog TRAPPC2 cause spondyloepiphyseal dysplasia tarda, TRAPPC2 can complement yeast null mutant
YBR255W	MTC4	2	724456	726540	W	Verified	ORF		0	0	0	2	0	0	0	Protein of unknown function; required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1
YBR255C-A	RCF3	2	726618	727074	C	Uncharacterized	ORF		0	0	0	0	0	0	0	Putative protein of unknown function; may interact with respiratory chain complexes III (ubiquinol-cytochrome c reductase) or IV (cytochrome c oxidase); identified by sequence comparison with hemiascomycetous yeast species
YBR256C	RIB5	2	727386	728102	C	Verified	ORF	riboflavin synthase	0	0	0	0	0	0	0	Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway
YBR257W	POP4	2	728885	729724	W	Verified	ORF	RNase P/RNase MRP complex subunit	0	0	0	0	0	0	0	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; binds to the RPR1 RNA subunit in RNase P
YBR258C	SHG1	2	729734	730162	C	Verified	ORF	CPS15	0	0	0	0	0	0	0	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres
YBR259W		2	730387	732453	W	Verified	ORF		0	0	1	0	0	0	0	Protein of unknown function; YBR259W is not an essential gene; forms cytoplasmic foci upon DNA replication stress
YBR260C	RGD1	2	732639	734639	C	Verified	ORF		0	0	2	0	0	0	7.71292043709719	GTPase-activating protein (RhoGAP) for Rho3p and Rho4p; possibly involved in control of actin cytoskeleton organization
YBR261C	TAE1	2	734832	735530	C	Verified	ORF	N-terminal protein methyltransferase|NTM1	0	4	0	0	0	0	9.3126536504017	AdoMet-dependent proline methyltransferase; catalyzes the dimethylation of ribosomal proteins Rpl12 and Rps25 at N-terminal proline residues; has a role in protein synthesis; fusion protein localizes to the cytoplasm
YBR262C	MIC12	2	735720	736040	C	Verified	ORF	AIM5|MCS12|FMP51	0	0	0	0	0	0	0	Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; forms a subcomplex with Mic10p and Mic27p whose assembly and stability requires cardiolipin
